uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,month,day
1,080480000707,Columbine High School,804800,Jefferson County R-1,1999-04-20,1998-1999,1999,11:19 AM,Tuesday,Littleton,COLORADO,public,1965,13,21,34,indiscriminate,18,m,w,student,1,suicide,17,m,w,student,1,suicide,1783,16,112,42,12,NA,NA,1,"12-gauge Savage-Springfield 67H pump-action shotgun, Hi-Point 995 Carbine 9 mm carbine, 9_19mm Intratec TEC-9 semi-automatic handgun, 12-gauge Stevens 311D double-barreled sawed-off shotgun",purchased from friends,39.60391,-105.075,89.6,9,12,41,Jefferson County,8,8059,21,Apr,20
2,220054000422,Scotlandville Middle School,2200540,East Baton Rouge Parish School Board,1999-04-22,1998-1999,1999,12:30 PM,Thursday,Baton Rouge,LOUISIANA,public,588,0,1,1,targeted,14,m,,former student (expelled),0,,NA,,,,NA,,5,583,0,0,0,NA,NA,0,.22 caliber pistol,,30.529958,-91.169966,39,6,8,495,East Baton Rouge Parish,22,22033,12,Apr,22
3,130441001591,Heritage High School,1304410,Rockdale County,1999-05-20,1998-1999,1999,8:03 AM,Thursday,Conyers,GEORGIA,public,1369,0,6,6,indiscriminate,15,m,w,student,0,,NA,,,,NA,,1189,136,28,15,1,NA,NA,1,".22 caliber rifle, 357-caliber Magnum handgun",,33.626922,-84.04796,84,9,12,125,Rockdale County,13,13247,21,May,20
4,421899003847,John Bartram High School,4218990,Philadelphia City Sd,1999-10-04,1999-2000,1999,10:00 AM,Monday,Philadelphia,PENNSYLVANIA,public,3147,0,1,1,targeted,17,m,,student,0,,NA,,,,NA,,209,2736,27,170,5,NA,NA,1,RG .25-caliber pistol,purchased from friend,39.921509,-75.234108,41,9,12,2007,Philadelphia County,42,42101,11,Oct,4
5,250279000225,Dorchester High School,2502790,Boston,1999-11-03,1999-2000,1999,7:40 AM,Wednesday,Boston,MASSACHUSETTS,public,1116,0,1,1,targeted,NA,m,,,0,,NA,,,,NA,,40,755,287,29,5,NA,NA,0,,,42.285268,-71.075901,NA,9,12,543,Suffolk County,25,25025,11,Nov,3
6,350069000240,Deming Middle School,3500690,Deming Public Schools,1999-11-19,1999-2000,1999,12:45 PM,Friday,Deming,NEW MEXICO,public,753,1,0,1,accidental or targeted,12,m,h,student,0,,NA,,,,NA,,160,6,583,2,2,NA,NA,0,.22-caliber Colt revolver,home,32.261547,-107.762986,44,6,7,502,Luna County,35,35029,33,Nov,19
7,401197000559,Fort Gibson Middle School,4011970,Fort Gibson,1999-12-06,1999-2000,1999,7:45 AM,Monday,Fort Gibson,OKLAHOMA,public,407,0,5,5,indiscriminate,13,m,ai,student,0,,NA,,,,NA,,239,3,12,0,153,NA,NA,0,Taurus 9mm pistol,father,35.795556,-95.241921,25.4,6,8,146,Muskogee County,40,40101,32,Dec,6
8,120153001590,Ridgewood High School,1201530,Pasco,2000-01-19,1999-2000,2000,3:00 PM,Wednesday,New Port Richey,FLORIDA,public,1852,1,0,1,accidental,16,m,w,student,0,,NA,,,,NA,,1697,28,96,26,5,NA,NA,1,.22-caliber Magnum handgun,stolen,28.273253,-82.687231,85,9,12,654,Pasco County,12,12101,21,Jan,19
9,062460009581,Alicia Reyes Elementary School,624600,Merced City Elementary,2000-01-26,1999-2000,2000,8:34 AM,Wednesday,Merced,CALIFORNIA,public,734,0,0,0,targeted,13,m,,no connection,0,,NA,,,,NA,,82,40,389,222,1,NA,NA,0,.22 caliber revolver,,37.286387,-120.494808,36,KG,5,643,Merced County,6,6047,13,Jan,26
10,170993000748,Duke Ellington Elementary School,1709930,City Of Chicago School District 299,2000-02-14,1999-2000,2000,,Monday,Chicago,ILLINOIS,public,736,0,1,1,accidental,11,m,,student,0,,NA,,,,NA,,0,736,0,0,0,NA,NA,0,,,41.885272,-87.766042,37,PK,6,,Cook County,17,17031,11,Feb,14
11,280132000190,Horn Lake High School,2801320,Desoto County School District,2000-02-22,1999-2000,2000,,Tuesday,Horn Lake,MISSISSIPPI,public,1197,0,0,0,targeted,NA,m,,,0,,NA,,,,NA,,991,166,25,14,1,NA,NA,0,handgun,,34.948919,-90.035423,65,9,12,324,DeSoto County,28,28033,21,Feb,22
12,402961001555,Tecumseh High School,4029610,Tecumseh,2000-02-24,1999-2000,2000,9:00 AM,Thursday,Tecumseh,OKLAHOMA,public,711,0,0,0,targeted,19,m,,former boyfriend of student,0,,NA,,,,NA,,527,8,12,2,162,NA,NA,0,,,35.255494,-96.943184,45.5,9,12,184,Pottawatomie County,40,40125,32,Feb,24
13,260450004135,Buell Elementary School,2604500,Beecher Community School District,2000-02-29,1999-2000,2000,10:00 AM,Tuesday,Mount Morris Township,MICHIGAN,public,459,1,0,1,targeted,6,m,b,student,0,,NA,,,,NA,,125,261,37,0,1,NA,NA,0,.32-caliber semiautomatic handgun,"uncle's friend, found in open shoebox",43.079604,-83.706037,20,KG,4,421,Genesee County,26,26049,21,Feb,29
14,401521000713,Hugo High School,4015210,Hugo,2000-04-06,1999-2000,2000,12:00 PM,Thursday,Hugo,OKLAHOMA,public,499,0,1,1,targeted,33,f,,parent of student,0,,NA,,,,NA,,263,117,11,1,107,NA,NA,1,small-caliber pistol,legally purchased by shooter,34.010732,-95.511435,34.7,9,12,236,Choctaw County,40,40023,33,Apr,6
15,040146000077,Carmichael Elementary School,401460,Sierra Vista Unified District,2000-05-10,1999-2000,2000,1:30 PM,Wednesday,Sierra Vista,ARIZONA,public,397,1,0,1,targeted,39,m,,spouse of teacher,1,suicide,NA,,,,NA,,178,51,154,8,6,NA,NA,0,,,31.56269,-110.29924,24.5,KG,5,,Cochise County,4,4003,13,May,10
16,120150002873,Lake Worth Middle School,1201500,Palm Beach County School District,2000-05-26,1999-2000,2000,3:00 PM,Friday,Lake Worth,FLORIDA,public,1525,1,0,1,targeted,13,m,b,student,0,,NA,,,,NA,,414,560,528,17,6,NA,NA,0,.25-caliber handgun,grandfather,26.451351,-80.085968,95,6,8,1186,Palm Beach County,12,12099,21,May,26
17,530723002564,Dimmitt Middle School,5307230,Renton,2000-07-17,1999-2000,2000,10:30 AM,Monday,Renton,WASHINGTON,public,956,0,0,0,indiscriminate,13,m,w,student in summer school,0,,NA,,,,NA,,276,375,73,218,14,NA,NA,0,.22-caliber handgun,grandparents,47.493015,-122.233115,42.3,6,8,,King County,53,53033,21,Jul,17
18,390444101350,Mount Healthy North Junior High,3904441,Mount Healthy City Sd,2000-09-18,2000-2001,2000,,Monday,Mount Healthy,OHIO,public,341,0,0,0,indiscriminate,14,m,,student,0,,NA,,,,NA,,149,192,0,0,0,NA,NA,1,.380-caliber semiautomatic handgun,relatives,39.251506,-84.555558,22.8,7,8,163,Hamilton County,39,39061,21,Sep,18
19,220117000980,Carter G. Woodson Middle School,2201170,Orleans Parish School Board,2000-09-26,2000-2001,2000,12:00 PM,Tuesday,New Orleans,LOUISIANA,public,686,0,1,1,targeted,13,m,,student,0,,NA,,,,NA,,0,685,1,0,0,NA,NA,0,.38-caliber revolver,,29.939676,-90.090046,45,6,8,551,Orleans Parish,22,22071,11,Sep,26
20,062927004519,Hueneme High School,629270,Oxnard Union High,2001-01-10,2000-2001,2001,12:50 PM,Wednesday,Oxnard,CALIFORNIA,public,2764,0,0,0,targeted,17,m,h,not a student but often hung around the school,1,killed by police,NA,,,,NA,,311,124,2145,134,50,NA,NA,1,handgun,,34.160149,-119.1822,110.2,9,12,1169,Ventura County,6,6111,12,Jan,10
21,240009000263,Lake Clifton Eastern High School,2400090,Baltimore City Public Schools,2001-01-17,2000-2001,2001,8:45 AM,Wednesday,Baltimore,MARYLAND,public,2236,1,0,1,targeted,19,m,,none,0,,NA,,,,NA,,24,2205,2,4,1,NA,NA,0,.32-caliber handgun,,39.316116,-76.590038,126.5,PK,12,914,Baltimore City,24,24510,11,Jan,17
22,481623021205,Pearl C. Anderson Middle School,4816230,Dallas Isd,2001-02-06,2000-2001,2001,,Tuesday,Dallas,TEXAS,public,879,0,1,1,targeted,14,m,,student (suspended),0,,NA,,,,NA,,3,793,82,0,1,NA,NA,1,small revolver,,32.759323,-96.744389,89.3,7,8,607,Dallas County,48,48113,11,Feb,6
23,061623002026,Santana High School,616230,Grossmont Union High,2001-03-05,2000-2001,2001,9:20 AM,Monday,Santee,CALIFORNIA,public,1894,2,13,15,indiscriminate,15,m,w,student,0,,NA,,,,NA,,1591,24,174,58,8,NA,NA,1,.22-caliber revolver,father,32.85756,-116.971045,79.9,9,12,202,San Diego County,6,6073,21,Mar,5
24,1195358,Bishop Neumann Junior-Senior High,NA,,2001-03-07,2000-2001,2001,12:00 PM,Wednesday,Williamsport,PENNSYLVANIA,private,227,0,1,1,targeted,14,f,w,student,0,,NA,,,,NA,,208,10,5,4,0,NA,NA,0,.22-caliber revolver,father,41.249266,-76.996564,21.125,7,12,,Lycoming County,42,42081,13,Mar,7
25,061623002020,Granite Hills High School,616230,Grossmont Union High,2001-03-22,2000-2001,2001,1:00 PM,Thursday,El Cajon,CALIFORNIA,public,2846,0,5,5,targeted and indiscriminate,18,m,,student,0,,NA,,,,NA,,2256,67,376,66,50,NA,NA,1,Mossberg pump-action 12-gauge shotgun,,32.800101,-116.916889,112.2,9,12,436,San Diego County,6,6073,21,Mar,22
26,180387000637,Lew Wallace High School,1803870,Gary Community School Corp,2001-03-30,2000-2001,2001,8:15 AM,Friday,Gary,INDIANA,public,1179,1,0,1,targeted,17,m,,former student (expelled),0,,NA,,,,NA,,2,1135,39,3,0,NA,NA,1,pistol,,41.536645,-87.34132,64,9,12,446,Lake County,18,18089,13,Mar,30
27,220108001296,Monroe City Alternative Center,2201080,City Of Monroe School Board,2001-04-20,2000-2001,2001,7:20 AM,Friday,Monroe,LOUISIANA,public,65,0,0,0,targeted,14,m,,student,0,,NA,,,,NA,,NA,,,NA,NA,NA,NA,0,.380 caliber semi-automatic pistol,,32.524187,-92.070624,NA,,,,Ouachita Parish,22,22073,13,Apr,20
28,481854001737,Ennis High School,4818540,Ennis Isd,2001-05-15,2000-2001,2001,12:00 PM,Tuesday,Ennis,TEXAS,public,1279,0,0,0,hostage suicide,16,m,,student,1,suicide,NA,,,,NA,,692,202,383,2,0,NA,NA,0,.357 Magnum pistol,,32.305062,-96.629758,93.7,9,12,447,Ellis County,48,48139,41,May,15
29,062271007751,Belmont High School,622710,Los Angeles Unified,2001-07-30,2000-2001,2001,7:20 AM,Monday,Los Angeles,CALIFORNIA,public,5264,0,1,1,targeted,NA,m,,,0,,NA,,,,NA,,27,98,4679,456,4,NA,NA,1,revolver,,34.061499,-118.263286,194.3,9,12,4046,Los Angeles County,6,6037,11,Jul,30
30,210135000271,Latonia Elementary School,2101350,Covington Independent,2001-09-12,2001-2002,2001,3:00 PM,Wednesday,Covington,KENTUCKY,public,526,1,0,1,targeted,30,f,w,parent of student,0,,NA,,,,NA,,441,81,0,1,3,NA,NA,0,.380-caliber semiautomatic pistol,,39.044149,-84.49833,16.8,KG,5,350,Kenton County,21,21117,21,Sep,12
31,060003206330,Redondo Union High School,600032,Redondo Beach Unified,2001-10-26,2001-2002,2001,10:00 AM,Friday,Redondo Beach,CALIFORNIA,public,2069,0,1,1,accidental,16,m,,student,0,,NA,,,,NA,,1199,121,518,216,15,NA,NA,0,.38-caliber handgun,,33.844274,-118.384456,94.4,9,12,465,Los Angeles County,6,6037,21,Oct,26
32,260804000994,Caro Learning Center,2608040,Caro Community Schools,2001-11-12,2001-2002,2001,2:40 PM,Monday,Caro,MICHIGAN,public,151,0,0,0,targeted,17,m,,student,1,suicide,NA,,,,NA,,126,2,23,0,0,NA,NA,0,20-guage shotgun,legally purchased by shooter,43.458011,-83.438553,NA,9,12,6,Tuscola County,26,26157,32,Nov,12
33,362058002029,"Martin Luther King, Jr. High School",3620580,New York City Public Schools,2002-01-15,2001-2002,2002,2:00 PM,Tuesday,New York City,NEW YORK,public,2258,0,2,2,targeted,17,m,,student,0,,NA,,,,NA,,49,1223,949,29,8,NA,NA,0,Lorcin .380-caliber semiautomatic pistol,illegally purchased,40.774262,-73.985021,97.7,9,12,1831,New York County,36,36061,11,Jan,15
34,062271003034,Gardena High School,622710,Los Angeles Unified,2002-02-06,2001-2002,2002,2:50 PM,Wednesday,Los Angeles,CALIFORNIA,public,3198,0,2,2,targeted,17,m,,student,0,,NA,,,,NA,,77,1381,1492,244,4,NA,NA,0,pistol,,33.866342,-118.296704,133.2,9,12,1941,Los Angeles County,6,6037,11,Feb,6
35,240051000982,Benjamin Tasker Middle School,2400510,Prince George's County Public Schools,2002-10-07,2002-2003,2002,8:09 AM,Monday,Bowie,MARYLAND,public,1371,0,1,1,indiscriminate,NA,m,b,none,0,,NA,,,,NA,,562,706,47,52,4,NA,NA,0,Bushmaster XM-15 rifle,stolen,38.957407,-76.746341,73.7,7,8,197,Prince George's County,24,24033,21,Oct,7
36,340783002776,Lincoln High School,3407830,Jersey City,2002-10-29,2002-2003,2002,8:30 AM,Tuesday,Jersey City,NEW JERSEY,public,986,0,1,1,targeted,15,m,,student,0,,NA,,,,NA,,9,722,208,43,4,NA,NA,1,Browning .380-caliber pistol,,40.716783,-74.070502,102,9,12,495,Hudson County,34,34017,11,Oct,29
37,753892,St. James Catholic School,NA,,2002-11-07,2002-2003,2002,12:30 PM,Thursday,Liberty,MISSOURI,private,297,1,1,2,targeted,41,m,,parent of student,0,,NA,,,,NA,,287,4,5,1,0,NA,NA,0,revolver,legally purchased by shooter,39.240746,-94.45515,NA,KG,8,,Clay County,29,29047,21,Nov,7
38,440090000232,Mount Pleasant High School,4400900,Providence School District,2003-01-22,2002-2003,2003,,Wednesday,Providence,RHODE ISLAND,public,1641,0,0,0,targeted,NA,m,,student,0,,NA,,,,NA,,247,396,831,155,12,NA,NA,0,22-caliber semi-automatic,,41.837981,-71.45125,NA,9,12,1097,Providence County,44,44007,12,Jan,22
39,080723001239,Ranum High School,807230,Westminster 50,2003-02-05,2002-2003,2003,8:40 AM,Wednesday,Westminster,COLORADO,public,1434,0,0,0,targeted,14,m,,student,0,,NA,,,,NA,,539,18,748,112,17,NA,NA,1,small semi-automatic handgun,,39.841774,-105.015495,68,9,12,524,Adams County,8,8001,21,Feb,5
40,110003000082,Cardozo High School,1100030,District Of Columbia Pub Schls,2003-04-01,2002-2003,2003,12:15 PM,Tuesday,Washington,DISTRICT OF COLUMBIA,public,749,0,1,1,targeted,15,m,,student,0,,NA,,,,NA,,6,530,183,28,2,NA,NA,1,handgun,,38.922338,-77.029756,NA,9,12,427,District of Columbia,11,11001,11,Apr,1
41,220117000928,John Mcdonogh High School,2201170,Orleans Parish School Board,2003-04-14,2002-2003,2003,10:30 AM,Monday,New Orleans,LOUISIANA,public,1260,1,3,4,targeted,19,m,,none,0,,17,m,,none,NA,,10,1241,9,0,0,NA,NA,1,AK-47 and semiautomatic pistol,,29.974421,-90.075733,63,8,12,843,Orleans Parish,22,22071,11,Apr,14
42,060003907541,Delhi Middle School,600039,Delhi Unified,2003-04-15,2002-2003,2003,8:15 AM,Tuesday,Delhi,CALIFORNIA,public,394,0,1,1,targeted,NA,m,,,0,,NA,,,,NA,,101,7,273,13,0,NA,NA,0,handgun,,37.426801,-120.792392,18,6,8,270,Merced County,6,6047,23,Apr,15
43,422010004597,Red Lion Area Junior High School,4220100,Red Lion Area Sd,2003-04-24,2002-2003,2003,7:30 AM,Thursday,Red Lion,PENNSYLVANIA,public,965,1,0,1,targeted,14,m,w,student,1,suicide,NA,,,,NA,,949,6,5,5,0,NA,NA,1,".44-caliber handgun, .22-caliber gun to kill himself",stepfather,39.893809,-76.609728,46,7,8,156,York County,42,42133,22,Apr,24
44,280447000830,Vicksburg High School,2804470,Vicksburg Warren School Dist,2003-09-10,2003-2004,2003,2:30 PM,Wednesday,Vicksburg,MISSISSIPPI,public,1121,1,0,1,targeted,20,m,,,0,,NA,,,,NA,,388,719,9,5,0,NA,NA,0,handgun,,32.323263,-90.885251,63.8,9,12,540,Warren County,28,28149,32,Sep,10
45,530825001388,Lewis And Clark High School,5308250,Spokane School District,2003-09-22,2003-2004,2003,11:10 AM,Monday,Spokane,WASHINGTON,public,1992,0,0,0,indiscriminate,16,m,w,student,0,,NA,,,,NA,,1701,116,64,71,40,NA,NA,0,9 millimeter semiautomatic pistol,home,47.652394,-117.419841,92,9,12,545,Spokane County,53,53063,12,Sep,22
46,270944000388,Rocori High School,2709440,Rocori,2003-09-24,2003-2004,2003,11:38 AM,Wednesday,Cold Spring,MINNESOTA,public,831,2,0,2,targeted,15,m,w,student,0,,NA,,,,NA,,813,3,8,7,0,NA,NA,0,.22 caliber pistol,father,45.466258,-94.426618,48,8,12,100,Stearns County,27,27145,31,Sep,24
47,370090000337,Burns Middle School,3700900,Cleveland County Schools,2003-09-25,2003-2004,2003,8:00 AM,Thursday,Lawndale,NORTH CAROLINA,public,1049,0,0,0,indiscriminate,13,m,,student,0,,NA,,,,NA,,786,240,20,3,0,NA,NA,1,9mm handgun,,35.425762,-81.539104,63,6,8,510,Cleveland County,37,37045,31,Sep,25
48,061233007702,Rio Cazadero High School,612330,Elk Grove Unified,2003-10-01,2003-2004,2003,9:00 AM,Wednesday,Sacramento,CALIFORNIA,public,317,0,2,2,targeted,NA,m,,multiple officers,0,,NA,,,,NA,,27,105,91,88,5,NA,NA,0,officer weapons,police,38.469639,-121.435306,10.8,9,12,99,Sacramento County,6,6067,21,Oct,1
217,370297001214,East Mecklenburg High School,3702970,Charlotte-Mecklenburg Schools,2003-11-13,2003-2004,2003,11:45 AM,Thursday,Charlotte,NORTH CAROLINA,public,2275,0,1,1,accidental,15,m,,student,0,,NA,,,,NA,,997,990,198,82,8,NA,NA,1,.25-caliber handgun,,35.175976,-80.756579,113,9,12,709,Mecklenburg County,37,37119,11,Nov,13
49,110003000084,Ballou High School,1100030,District Of Columbia Pub Schls,2004-02-02,2003-2004,2004,10:30 AM,Monday,Washington,DISTRICT OF COLUMBIA,public,1090,1,1,2,targeted,18,m,b,student,0,,NA,,,,NA,,0,1084,2,2,2,NA,NA,1,.380-caliber pistol,puchased by shooter and friends,38.839005,-77.001667,68,9,12,897,District of Columbia,11,11001,11,Feb,2
50,360963000731,Columbia High School,3609630,East Greenbush Central School District,2004-02-09,2003-2004,2004,10:30 AM,Monday,East Greenbush,NEW YORK,public,1455,0,1,1,indiscriminate,16,m,w,student,0,,NA,,,,NA,,1390,28,6,31,0,NA,NA,0,12-gauge Winchester shotgun,,42.62068,-73.690848,NA,9,12,,RENSSELAER,36,36083,21,Feb,9
51,421899003675,T.m. Peirce Elementary School,4218990,Philadelphia City Sd,2004-02-11,2003-2004,2004,8:30 AM,Wednesday,Philadelphia,PENNSYLVANIA,public,453,1,1,2,targeted,19,m,b,none,0,,20,m,b,none,0,,2,445,4,2,0,NA,NA,1,"carbine rifle, assault weapon",,39.998621,-75.168248,26,KG,5,450,Philadelphia County,42,42101,11,Feb,11
52,062805012992,Castlemont High School,628050,Oakland Unified,2004-06-09,2003-2004,2004,12:22 PM,Wednesday,Oakland,CALIFORNIA,public,1467,0,2,2,targeted,NA,,,,0,,NA,,,,NA,,9,736,631,83,1,NA,NA,0,,,37.75982,-122.16302,56.5,9,12,340,Alameda County,6,6001,11,Jun,9
53,173291003406,Proviso East High School,1732910,Proviso Twp H S Dist 209,2004-08-30,2004-2005,2004,2:30 PM,Monday,Maywood,ILLINOIS,public,2068,1,0,1,targeted,NA,m,b,none,0,,NA,,,,NA,,44,1506,497,9,10,NA,NA,1,handgun,,41.88062,-87.83382,110,9,12,637,Cook County,17,17031,21,Aug,30
54,180387000649,Wirt High School,1803870,Gary Community School Corp,2004-09-15,2004-2005,2004,,Wednesday,Gary,INDIANA,public,792,0,0,0,indiscriminate,NA,m,,student,0,,NA,,,,NA,,10,769,11,2,0,NA,NA,0,handgun,,41.60997,-87.26145,49.7,9,12,394,Lake County,18,18089,13,Sep,15
55,240009001561,Thurgood Marshall High School,2400090,Baltimore City,2004-10-21,2004-2005,2004,4:00 PM,Thursday,Baltimore,MARYLAND,public,502,0,2,2,targeted,16,m,,student,0,,NA,,,,NA,,6,493,2,0,1,NA,NA,1,handgun,,39.31911,-76.54552,22,9,11,296,Baltimore City,24,24510,11,Oct,21
56,220117000973,Booker T. Washington High School,2201170,Orleans Parish,2004-11-12,2004-2005,2004,12:00 PM,Friday,New Orleans,LOUISIANA,public,383,0,1,1,targeted,28,f,,security guard,0,,NA,,,,NA,,2,381,0,0,0,NA,NA,1,.38-caliber revolver,department issued,29.94966,-90.08893,36.8,8,12,308,Orleans Parish,22,22071,11,Nov,12
57,A9902648,Emmanuel Christian Academy,NA,,2004-12-07,2004-2005,2004,3:00 PM,Tuesday,Jackson,MISSISSIPPI,private,128,0,1,1,accidental,28,f,,,0,,NA,,,,NA,,0,128,0,0,0,NA,NA,0,.22 caliber handgun,,32.288835,-90.196049,11,PK,8,,Hinds County,28,28049,12,Dec,7
58,173123003295,Woodruff High School,1731230,Peoria School District 150,2005-01-26,2004-2005,2005,,Wednesday,Peoria,ILLINOIS,public,1012,0,0,0,targeted,15,m,b,student,0,,NA,,,,NA,,336,602,60,14,0,NA,NA,0,handgun,,40.70725,-89.57513,65,9,12,606,Peoria County,17,17143,12,Jan,26
59,170993005072,Bowen High School,1709930,City Of Chicago School Dist 299,2005-02-08,2004-2005,2005,2:32 PM,Tuesday,Chicago,ILLINOIS,public,215,0,1,1,targeted,NA,,,,0,,NA,,,,NA,,2,167,46,0,0,NA,NA,0,,,41.73354,-87.557742,45.7,11,12,212,Cook County,17,17031,11,Feb,8
60,470318001337,Maplewood Comprehensive High School,4703180,Nashville-Davidson County Sd,2005-03-09,2004-2005,2005,2:00 PM,Wednesday,Nashville,TENNESSEE,public,1119,0,1,1,targeted,16,m,,former student (expelled),0,,NA,,,,NA,,219,868,21,11,0,NA,NA,0,handgun,,36.22912,-86.74568,63,9,12,,Davidson County,47,47037,11,Mar,9
61,273051001303,Red Lake High School,2730510,Red Lake,2005-03-21,2004-2005,2005,2:49 PM,Monday,Red Lake,MINNESOTA,public,331,7,7,14,indiscriminate,16,m,ai,former student,1,suicide,NA,,,,NA,,0,0,0,0,331,NA,NA,1,".40 caliber Glock 23 pistol, 870 12 gauge pump-action shotgun",grandfather,47.8509,-95.0629,31.1,9,12,295,Beltrami County,27,27007,43,Mar,21
62,481275000769,Canton High School,4812750,Canton Isd,2005-04-07,2004-2005,2005,9:20 AM,Thursday,Canton,TEXAS,public,533,0,1,1,targeted,45,m,w,father of football player,0,,NA,,,,NA,,484,16,29,1,3,NA,NA,0,.45-caliber pistol,legally purchased by shooter,32.54958,-95.86617,39.4,9,12,79,Van Zandt County,48,48467,32,Apr,7
63,422583001736,Highland Elementary School,4225830,West Shore Sd,2005-05-17,2004-2005,2005,3:00 PM,Tuesday,Lower Allen Township,PENNSYLVANIA,public,445,1,0,1,targeted,47,m,,dating mother of student,1,suicide,NA,,,,NA,,403,23,10,9,0,NA,NA,0,9 mm semiautomatic handgun,,40.21999,-76.95256,24.2,KG,5,35,Cumberland County,42,42041,21,May,17
64,470210000681,Maury Middle School,4702100,Jefferson County School District,2005-08-25,2005-2006,2005,9:30 AM,Thursday,Jacksboro,TENNESSEE,public,609,0,1,1,accidental,14,m,,student,0,,NA,,,,NA,,594,9,4,2,0,NA,NA,0,".38-caliber Smith & Wesson, .22-caliber handgun",guardian (uncle),36.0213,-83.4041,34.7,6,8,314,Jefferson County,47,47089,41,Aug,25
65,120048004192,Sojourner Truth High School,1200480,Duval County School District,2005-09-02,2005-2006,2005,12:50 PM,Friday,Jacksonville,FLORIDA,public,123,0,1,1,targeted,NA,m,,,0,,NA,,,,NA,,9,110,4,0,0,NA,NA,0,handgun,,30.27037,-81.61618,7,9,12,62,Duval County,12,12031,11,Sep,2
66,170993000851,Harlan Community Academy High School,1709930,City Of Chicago Sd 299,2005-09-13,2005-2006,2005,2:20 PM,Tuesday,Chicago,ILLINOIS,public,1381,0,1,1,targeted,15,m,,student,0,,NA,,,,NA,,0,1381,0,0,0,NA,NA,1,.25-caliber handgun,,41.7184,-87.62085,101.6,7,12,959,Cook County,17,17031,11,Sep,13
67,291191000440,Farmington High School,2911910,Farmington R-Vii,2005-10-11,2005-2006,2005,8:00 AM,Tuesday,Farmington,MISSOURI,public,1160,0,0,0,indiscriminate,17,m,w,student,0,,NA,,,,NA,,1126,18,7,8,1,NA,NA,0,single-shot shotgun,father,37.78108,-90.43619,68.6,9,12,344,St. Francois County,29,29187,32,Oct,11
68,263039006677,Saginaw High School,2630390,Saginaw City School District,2005-10-20,2005-2006,2005,12:00 PM,Thursday,Saginaw,MICHIGAN,public,1178,0,1,1,targeted,15,m,,student,0,,NA,,,,NA,,16,1128,34,0,0,NA,NA,1,.380-caliber handgun,stolen,43.40713,-83.92541,58,9,12,823,Saginaw County,26,26145,13,Oct,20
69,470042000117,Campbell County High School,4700420,Campbell County School Distrct,2005-11-08,2005-2006,2005,2:00 PM,Tuesday,Jacksboro,TENNESSEE,public,1440,1,2,3,targeted and indiscriminate,15,m,w,student,0,,NA,,,,NA,,1429,0,6,5,0,NA,NA,0,.22-caliber pistol,,36.35086,-84.14832,79.4,9,12,851,Campbell County,47,47013,32,Nov,8
70,261200004670,Central High School,2612000,Detroit City School District,2005-12-06,2005-2006,2005,1:30 PM,Tuesday,Detroit,MICHIGAN,public,1205,0,1,1,indiscriminate,18,m,,,0,,NA,,,,NA,,5,1194,0,1,5,NA,NA,0,,,42.38469,-83.11269,55.2,8,12,897,Wayne County,26,26163,11,Dec,6
71,550960001256,Mary Mcleod Bethune Academy,5509600,Milwaukee Sch Dist,2006-01-11,2005-2006,2006,12:30 PM,Wednesday,Milwaukee,WISCONSIN,public,366,0,1,1,indiscriminate,18,m,,,0,,NA,,,,NA,,14,311,4,35,2,NA,NA,0,,,43.05063,-87.95774,24,PK,7,321,Milwaukee County,55,55079,11,Jan,11
72,120171001868,Milwee Middle School,1201710,Seminole County School District,2006-01-13,2005-2006,2006,9:30 AM,Friday,Longwood,FLORIDA,public,1121,1,0,1,targeted,NA,m,w,SWAT officer,0,,NA,,,,NA,,635,158,309,18,1,NA,NA,1,high-powered rifle,police issued,28.68172,-81.34669,76,6,8,569,Seminole County,12,12117,21,Jan,13
73,510081000299,Indian River High School,5100810,Chesapeake City Public Schools,2006-01-18,2005-2006,2006,11:00 AM,Wednesday,Chesapeake,VIRGINIA,public,1836,0,0,0,targeted,19,m,,,0,,NA,,,,NA,,733,957,53,69,6,NA,NA,0,,,36.79721,-76.24185,126,9,12,427,Chesapeake City,51,51550,21,Jan,18
74,064059009648,Will C. Wood High School,640590,Vacaville Unified,2006-01-23,2005-2006,2006,9:45 AM,Monday,Vacaville,CALIFORNIA,public,2138,0,1,1,accidental,14,m,,student,0,,NA,,,,NA,,1271,233,394,161,27,NA,NA,0,small revolver,,38.34635,-121.97421,85.8,9,12,398,Solano County,6,6095,23,Jan,23
75,482034002033,Lakeview Centennial High School,4820340,Garland Isd,2006-01-27,2005-2006,2006,,Friday,Garland,TEXAS,public,2175,0,2,2,accidental,16,m,,student,0,,NA,,,,NA,,630,755,674,108,8,NA,NA,0,small-caliber semiautomatic handgun,,32.85566,-96.57589,157.1,9,12,994,Dallas County,48,48113,21,Jan,27
